chrom	window_start	sites_total	calls_AL101	calls_AL102	calls_AL103	calls_AL114	calls_AL119	calls_AL120	calls_AL121	calls_AL124	calls_AL125	calls_AL127	calls_AL129	calls_AL133	calls_AL134	calls_AL137	calls_AL138	calls_AL141	calls_AL142	calls_AL143	calls_AL146	calls_AL149	calls_AL153	calls_AL155	calls_AL156	calls_AL159	calls_AL160	calls_AL162	calls_AL166	calls_AL170	calls_AL173	calls_AL174	calls_AL175	calls_AL176	calls_AL177	calls_AL178	calls_AL180	calls_AL181	calls_AL182	calls_AL184	calls_AL185	calls_AL187	calls_AL189	calls_AL193	calls_AL196	calls_AL197	calls_AL199	calls_AL200	calls_AL201	calls_AL204	calls_AL207	calls_AL208	calls_AL209	calls_AL210	calls_AL213	calls_AL215	calls_AL216	calls_AL220	calls_AL223	calls_AL231	calls_AL238	calls_AL241	calls_AL242	calls_AL243	calls_AL244	calls_AL246	calls_AL254	calls_AL255	calls_AL256	calls_AL263	calls_AL266	calls_AL269	calls_AL272	calls_AL273	calls_AL274	calls_AL276	calls_AL278	calls_AL279	calls_AL283	calls_AL284	calls_AL288	calls_AL292	calls_AL300	calls_AL303	calls_AL304	calls_AL307	calls_AL309	calls_AL313	calls_AL32	calls_AL35	calls_AL75	calls_AL82	calls_AL86	calls_AL88	calls_AL91	calls_AL92	calls_AL95	calls_AL97	calls_AL99	calls_K1423	calls_K1461	calls_K1542	calls_K1544	calls_K1567	calls_K1579	calls_K1580	calls_K1583	calls_K1603	calls_K1606	calls_K1608	calls_K16100	calls_K1614	calls_K1617	calls_K1618	calls_K1623	calls_K1627	calls_K1632	calls_K1640	calls_K1650	calls_K1660	calls_K1663	calls_K1665	calls_K1669	calls_K1672	calls_K1680	calls_K1684	calls_K1693	calls_K1696	calls_K17007	calls_K17008	calls_K17010	calls_K17013	calls_K17014	calls_K17025	calls_K17028	calls_K17030	calls_K17032	calls_K17033	calls_K17034	calls_K17035	calls_K17037	calls_K17040	calls_K17042	calls_K17044	calls_K17045	calls_K17048	calls_K17052	calls_K17053	calls_K17056	calls_K17062	calls_K17064	calls_K17073	calls_K17077	calls_K17078	calls_K17081	calls_K17083	calls_K17087	calls_K17091	calls_K17094	calls_K17098	calls_K17099	calls_K17101	calls_K17102	calls_K17103	calls_K17104	calls_K17106	calls_K18010	calls_K18017	calls_K18019	calls_K18022	calls_K18034	calls_K18078	calls_K18083	calls_K18084	calls_K18091	calls_K19018	calls_K19019	hets_AL101	hets_AL102	hets_AL103	hets_AL114	hets_AL119	hets_AL120	hets_AL121	hets_AL124	hets_AL125	hets_AL127	hets_AL129	hets_AL133	hets_AL134	hets_AL137	hets_AL138	hets_AL141	hets_AL142	hets_AL143	hets_AL146	hets_AL149	hets_AL153	hets_AL155	hets_AL156	hets_AL159	hets_AL160	hets_AL162	hets_AL166	hets_AL170	hets_AL173	hets_AL174	hets_AL175	hets_AL176	hets_AL177	hets_AL178	hets_AL180	hets_AL181	hets_AL182	hets_AL184	hets_AL185	hets_AL187	hets_AL189	hets_AL193	hets_AL196	hets_AL197	hets_AL199	hets_AL200	hets_AL201	hets_AL204	hets_AL207	hets_AL208	hets_AL209	hets_AL210	hets_AL213	hets_AL215	hets_AL216	hets_AL220	hets_AL223	hets_AL231	hets_AL238	hets_AL241	hets_AL242	hets_AL243	hets_AL244	hets_AL246	hets_AL254	hets_AL255	hets_AL256	hets_AL263	hets_AL266	hets_AL269	hets_AL272	hets_AL273	hets_AL274	hets_AL276	hets_AL278	hets_AL279	hets_AL283	hets_AL284	hets_AL288	hets_AL292	hets_AL300	hets_AL303	hets_AL304	hets_AL307	hets_AL309	hets_AL313	hets_AL32	hets_AL35	hets_AL75	hets_AL82	hets_AL86	hets_AL88	hets_AL91	hets_AL92	hets_AL95	hets_AL97	hets_AL99	hets_K1423	hets_K1461	hets_K1542	hets_K1544	hets_K1567	hets_K1579	hets_K1580	hets_K1583	hets_K1603	hets_K1606	hets_K1608	hets_K16100	hets_K1614	hets_K1617	hets_K1618	hets_K1623	hets_K1627	hets_K1632	hets_K1640	hets_K1650	hets_K1660	hets_K1663	hets_K1665	hets_K1669	hets_K1672	hets_K1680	hets_K1684	hets_K1693	hets_K1696	hets_K17007	hets_K17008	hets_K17010	hets_K17013	hets_K17014	hets_K17025	hets_K17028	hets_K17030	hets_K17032	hets_K17033	hets_K17034	hets_K17035	hets_K17037	hets_K17040	hets_K17042	hets_K17044	hets_K17045	hets_K17048	hets_K17052	hets_K17053	hets_K17056	hets_K17062	hets_K17064	hets_K17073	hets_K17077	hets_K17078	hets_K17081	hets_K17083	hets_K17087	hets_K17091	hets_K17094	hets_K17098	hets_K17099	hets_K17101	hets_K17102	hets_K17103	hets_K17104	hets_K17106	hets_K18010	hets_K18017	hets_K18019	hets_K18022	hets_K18034	hets_K18078	hets_K18083	hets_K18084	hets_K18091	hets_K19018	hets_K19019
NC_063228.1	1	838442	837686	837932	837682	835714	835909	837067	835539	837044	835597	835353	837621	837156	80089	417301	834825	837878	833172	836928	837960	208919	252043	836378	268415	836697	835546	836909	836166	837474	830560	836520	836551	837893	836576	214432	836561	101866	836791	836223	836956	835090	836188	836746	835924	837190	836341	836754	835556	834942	835615	305048	836130	837731	836311	835758	836640	837397	497720	837255	834847	306230	471184	836942	830443	835343	837562	200667	272008	837790	835747	837172	837825	202362	837105	836934	317227	836165	837924	834603	837856	835409	835583	261255	553616	837126	836763	837905	837710	835950	837712	837789	838065	837693	837804	838060	837791	837907	837613	828205	810831	836247	830398	837798	837175	835123	837367	673904	835636	801419	793375	748347	836074	836503	352124	477050	836596	812918	829968	485081	655195	773781	835958	837554	835952	838140	833901	836600	836678	186190	837914	503461	834942	826305	837060	835872	834450	837066	835454	826352	836391	714270	837653	823450	837518	836125	836756	837352	757964	837565	834589	833995	837152	837010	837613	837577	838090	836648	780255	816156	835903	825583	819802	816149	835684	767884	834066	832408	817525	834554	677791	827679	813659	833645	809181	832307	826548	285	0	286	527	404	525	635	526	679	0	0	1	11	200	701	684	680	695	410	72	107	1	0	399	706	671	693	0	646	232	408	412	407	88	676	12	0	465	667	572	0	0	666	669	462	696	688	238	691	0	690	1	639	405	521	0	0	1	2	183	158	110	499	683	533	61	96	652	0	0	403	18	109	332	150	0	520	682	410	390	397	67	303	0	642	537	0	283	568	0	412	709	281	285	565	412	563	629	379	661	605	405	0	452	0	407	0	264	103	0	686	0	165	292	688	259	103	263	352	0	687	708	0	683	277	637	661	111	0	106	389	472	702	664	467	0	514	601	656	0	109	509	411	0	413	530	247	678	110	0	405	110	410	0	535	108	3	1	677	656	0	688	638	0	108	696	455	503	216	682	533	523	487	231	225
NC_063228.1	1000001	845025	843944	844578	844457	834942	842270	843763	842502	843565	841710	840593	843937	843551	96465	442432	839877	844639	840995	843731	844509	239088	288467	842397	301052	843194	840744	843819	842890	843957	813261	842693	842929	844491	837699	242515	843228	123179	843198	843075	843664	840941	843117	842934	842998	843795	843359	843494	841900	839372	842138	310608	842805	844318	843509	843306	843396	843575	508682	843459	839743	310354	468373	843466	835275	842125	844169	216854	286406	844470	842289	843660	844409	225491	843829	843910	312738	841535	844670	840222	844172	842461	842239	295258	537758	843242	843751	844464	844111	842240	844025	843830	844368	844365	844385	844726	844509	844020	844142	833580	814776	842669	834857	844147	843259	841138	843564	667313	841460	802616	793286	753203	842411	842242	348024	474653	843141	814005	834849	493153	654891	781290	841801	844347	842407	844809	840796	843426	843237	207182	844404	509450	841805	833307	843572	842860	840549	843152	842209	828484	843013	717773	844166	829673	843836	842023	842264	843877	760955	844249	840909	839770	843793	843719	844285	843730	844626	843252	770280	822514	842554	830834	824094	822044	842824	773582	838695	839601	821116	841564	678746	833651	816499	839985	809540	838512	829508	86	187	420	505	504	506	414	564	579	117	118	115	13	224	296	578	197	289	553	119	54	506	101	540	299	330	288	427	339	359	334	737	339	77	569	60	297	235	328	338	425	0	256	325	235	526	292	359	325	0	524	427	356	720	78	0	236	428	505	140	182	425	405	202	397	53	32	420	214	498	566	125	634	295	130	508	344	403	119	714	568	35	144	115	343	372	1	407	377	2	118	535	341	418	306	117	307	241	156	510	196	118	505	229	0	211	217	311	378	365	201	412	76	187	290	348	394	138	178	0	423	293	121	334	323	413	290	85	0	248	507	325	522	326	239	0	288	238	253	1	425	424	580	112	580	322	348	333	450	0	410	624	409	118	379	421	376	462	395	328	469	176	414	1	413	204	328	330	401	203	279	294	289	375	352
NC_063228.1	2000001	842174	841544	841762	841710	837263	839497	840877	839707	840465	838859	838183	840882	840689	71855	356330	837745	841485	838505	840756	841613	123693	226831	839118	182074	840398	838422	840742	839742	840933	820711	839204	840293	840996	838199	182027	840520	86953	840429	840273	840901	838274	839246	840234	839816	840999	840068	840491	839510	838678	839269	211315	840091	841482	840512	841277	840555	839930	429026	840228	838029	201976	380753	840616	831271	838532	841448	134441	183464	841829	839106	840567	841568	122415	840740	840902	230915	839656	841763	837939	841626	837103	839343	197456	465353	840727	840684	841654	841529	839753	841250	841036	841667	841411	841558	841920	841390	841637	841504	833378	802376	839605	834772	841708	840704	838814	841194	623675	839423	788520	784197	720342	838320	840545	320285	411271	840695	806099	832828	409861	599418	757376	839762	841712	838783	841991	838927	840495	840363	128501	841770	443073	838827	827980	840700	839871	838257	841224	839365	831720	840156	679392	841502	822986	840680	839679	840275	841124	733691	841523	837472	837649	840941	840751	841391	841341	841790	840262	751491	810898	839433	821765	814139	826085	840207	743140	837175	834213	812811	837219	626705	826125	802588	834925	808742	834771	826303	322	604	245	318	836	319	565	395	862	248	246	244	17	201	602	864	0	858	575	40	67	53	36	727	606	597	593	320	580	430	330	754	578	28	570	37	600	325	599	597	314	0	441	329	329	547	588	432	591	59	540	324	595	856	0	0	121	317	514	69	220	719	231	0	242	32	0	607	396	510	441	66	744	591	75	408	436	431	0	710	433	48	143	331	605	577	0	240	556	0	0	550	0	247	458	0	458	312	0	527	422	522	522	316	0	394	601	0	611	428	0	541	116	227	603	287	677	145	222	471	495	0	430	605	570	488	591	0	571	226	709	75	533	590	329	0	579	290	444	2	719	235	440	229	442	564	470	604	707	0	734	742	735	247	0	735	462	47	424	564	46	4	561	318	696	0	52	417	450	0	32	448	511	551	520
NC_063228.1	3000001	849318	848459	848617	848590	845700	846312	847576	846533	847568	847597	847249	848457	848071	61760	343568	846343	848530	844464	847666	848582	219098	185915	847759	279509	847275	847320	847687	846759	848018	843357	846323	846978	848262	845426	138531	847173	64340	847325	847254	847637	846559	847179	846973	846683	847798	846847	847415	846064	842135	846311	324709	846569	848350	847421	847222	847502	848005	455700	847883	846120	306802	514918	847379	841691	846603	848360	193104	337931	848553	847364	847948	848453	248980	848166	847872	301799	848048	848817	846751	848524	844906	846479	299770	601499	847636	847866	848689	848477	846115	848722	848283	848673	848314	848370	848898	848335	848537	848544	840731	830851	847595	841227	848553	848494	846655	848023	724058	847774	821181	813445	787436	847600	847757	444696	559975	847914	826972	841776	555104	712331	798856	847563	848670	847833	848938	845619	847577	847316	255082	848725	573467	845792	840209	847737	847162	846614	848457	846508	836377	847189	744255	848554	839124	848786	847224	848036	848193	779951	848398	846087	846193	847668	848211	848558	848330	848788	847570	796171	836520	847095	841352	834777	819613	847732	801547	844328	845753	835912	846778	728540	841968	833713	845241	819294	845327	839415	640	912	855	429	774	439	803	877	804	630	735	629	30	171	501	806	459	792	562	153	39	175	135	803	499	942	488	650	580	703	869	851	654	50	547	32	591	878	675	678	650	96	829	651	869	836	584	834	655	131	748	583	593	794	0	101	225	515	815	160	280	582	694	1	844	116	89	345	1	810	585	183	851	678	153	852	423	420	396	864	694	92	553	579	699	824	0	827	847	13	570	650	400	852	805	400	804	788	275	660	767	623	817	857	0	502	495	369	540	758	1	486	279	456	579	411	558	538	682	622	483	0	584	774	561	479	585	1	781	496	561	0	647	664	884	1	572	580	756	1	587	821	816	598	717	680	311	682	575	1	808	839	816	442	0	586	438	167	805	668	176	284	638	619	579	1	1	486	467	1	755	778	636	537	517
NC_063228.1	4000001	844556	843615	843870	843967	835992	841566	843045	841760	843113	842488	842329	844034	843262	73492	398369	841321	843743	838831	842880	843849	310438	238349	843371	353035	842595	842058	842888	841982	843362	828125	836962	842289	843853	836908	197724	842538	90617	842560	842790	842919	842056	842625	842592	842023	843029	842393	842940	841132	822747	841568	391733	842137	843612	842754	841325	842540	843752	516109	843127	841239	366191	560147	843110	830556	842469	843854	254049	423528	843772	843065	843376	843938	334304	843518	843359	340035	843124	844062	842133	843801	838276	842268	379954	642881	842956	843276	843896	843698	841628	843429	843532	843943	843541	843878	844138	844047	843735	843787	835356	833373	843007	835371	843946	843322	841213	843299	744844	842953	825027	803995	811533	843770	842710	504572	633159	842995	823737	838202	619452	752327	813420	842679	844081	843488	844243	840792	842953	842959	331773	844314	637965	842104	834493	843358	842530	840964	843614	842325	827502	842873	766877	843898	835032	844162	842688	843173	843631	791903	843863	841741	841362	843231	843713	843854	843741	843991	843010	786808	838596	842656	840546	833046	807052	842786	818390	840701	842222	833108	842838	757211	839484	834408	842194	810169	842264	835166	706	136	782	0	657	0	760	769	777	19	781	19	24	214	1	682	636	671	876	171	0	777	220	765	1	670	501	771	759	850	586	782	1	85	866	31	764	590	0	1	775	754	758	667	589	731	764	742	1	1	746	0	768	750	0	781	350	775	771	1	324	786	746	0	773	121	0	769	0	767	584	112	769	1	1	780	607	550	777	772	847	234	514	862	0	780	0	755	768	704	781	1	776	778	610	770	601	552	0	794	540	738	775	569	0	635	1	749	731	711	0	256	225	470	761	0	742	400	505	825	685	640	860	686	723	664	765	2	776	529	761	1	1	1	590	274	750	570	512	0	780	765	782	18	865	858	723	1	770	0	764	762	774	857	0	775	647	754	596	1	751	0	1	1	769	0	0	757	663	0	579	599	828	860	822
NC_063228.1	5000001	832198	831299	831671	831687	822114	829337	830696	828962	830570	830779	830646	824856	830383	66128	354281	830043	831334	827496	830529	831578	224471	226646	831001	272868	830383	830571	830596	829872	830921	817323	798677	829956	814716	823397	189851	830401	89278	830262	830289	830697	829839	829897	830307	829594	830608	829931	830358	829005	810246	829218	306400	829869	831419	830231	827396	830463	816594	437896	830284	829671	289433	471320	830730	817965	829606	831593	206192	325201	831766	830480	830946	831585	258288	831123	830778	279410	831075	831640	830004	831453	786990	829970	297825	550087	830419	830981	831685	831640	829305	831496	831462	831849	831422	831515	831833	830235	831525	831458	822705	809889	830257	823027	831641	831123	829064	831091	691540	830825	796392	772562	768920	830219	830152	407794	550638	830715	805561	823968	531661	682573	785540	830777	831520	829877	831891	828275	830623	830315	275585	831847	559473	828754	815590	831012	829795	828101	831413	829714	814013	830620	722334	831660	817144	831390	830100	831263	831231	754491	831478	828736	829521	830787	831150	831494	831333	831647	830588	748691	813335	830168	821951	814118	800775	830587	775765	828285	827729	810010	829385	692231	823589	812423	827900	784648	827648	820311	104	1	724	0	614	0	691	711	697	699	719	698	38	203	131	632	600	630	535	155	1	689	151	706	0	626	682	627	612	661	609	687	351	27	524	56	673	732	0	0	455	604	710	420	615	683	228	669	0	0	605	51	617	668	0	603	262	610	702	166	259	731	680	0	723	114	0	701	0	699	724	0	699	0	0	694	625	781	625	647	613	229	417	525	0	726	0	699	350	646	723	447	632	726	625	631	622	565	0	651	554	733	703	590	0	487	0	577	662	616	90	700	210	330	613	0	604	367	479	545	476	617	532	634	593	469	623	0	704	446	719	0	545	351	608	647	604	523	656	3	730	696	708	669	697	580	602	0	714	433	709	693	723	680	0	731	607	654	617	0	651	0	538	0	714	0	0	578	553	0	583	609	530	519	492
NC_063228.1	6000001	803651	802611	802817	803024	790830	800160	801987	800547	802185	801880	801599	784637	802384	87829	441828	800181	802719	796490	801982	802933	381746	302729	801602	426452	801704	800800	801908	800941	802071	775013	733505	800883	625897	786525	263501	801616	129983	801636	801288	801797	800864	801469	801245	801067	802029	801042	801599	800220	741358	800583	433386	801076	802724	801423	792928	801607	712114	547595	801833	800018	405017	544809	802319	774732	801592	802928	309709	442004	802749	801382	802316	802881	397614	802428	802260	373012	801796	803092	800767	802536	714896	801507	430134	565485	801413	802105	802767	802643	800786	802736	802813	802953	802488	802734	803102	799947	802814	802766	789183	792211	802170	789776	802984	800115	797472	802164	698270	800857	779764	737292	775495	801912	800088	480539	640964	801083	782751	797959	597546	710728	776522	801751	802059	802257	803365	797298	802117	801526	428877	803069	617214	800727	784719	802380	801503	792965	801179	801610	770089	801894	722866	802773	791849	802834	801676	801998	802444	751080	802882	798599	800081	802092	802059	802756	802524	803066	802114	719948	797249	802153	800570	790831	763644	800911	776894	799279	800800	786436	801618	710279	797904	795867	801745	734590	800572	788006	694	0	703	0	545	0	678	693	437	579	698	577	27	241	701	563	515	551	706	181	3	630	292	687	0	550	422	684	665	689	55	0	51	124	588	71	683	469	0	0	697	566	687	498	56	761	677	0	0	0	569	701	678	585	0	511	415	743	689	13	0	54	476	0	701	4	0	294	0	687	702	2	436	0	3	0	56	693	74	620	430	323	467	589	0	704	0	680	628	83	704	454	683	704	56	681	56	53	0	289	49	702	686	54	0	573	0	683	429	642	54	675	20	440	447	0	54	333	53	662	622	573	604	558	639	618	674	1	693	504	54	0	253	55	57	460	679	435	674	0	56	692	441	599	770	692	568	0	459	456	689	438	549	809	0	54	504	607	517	0	611	0	413	0	55	0	0	587	424	0	52	52	647	687	628
NC_063228.1	7000001	756324	754678	755492	755654	734447	752769	754575	752714	754825	753933	753828	734392	755091	87568	468301	752728	755408	749157	754584	755362	478232	319512	754260	511672	753846	753661	754334	753534	754440	731679	693367	753381	558433	739501	299490	753760	148122	753534	753593	754496	752813	754032	753310	753399	754643	753747	754044	752487	689276	753182	514626	753100	754902	753899	745212	753248	605442	560991	754590	752598	508866	582113	754903	725357	754426	755498	375131	528909	754973	754796	755128	755343	478188	755192	754848	464246	754484	755380	753167	754775	651523	754064	511435	568010	753909	754425	755603	755534	753488	755357	755274	755585	755082	755136	755718	752497	755354	755189	745218	749662	754752	745085	755402	754247	751789	754690	664207	754361	726953	672362	730037	755461	753499	585161	679540	754299	731859	751167	608951	671290	734691	754250	754907	754996	755844	751310	754369	754418	522484	755725	627634	753698	731510	754696	754213	748420	754823	753987	728450	754604	680882	755709	745529	756010	754056	754807	754908	692036	755465	753072	752654	754352	755205	755137	754891	755395	754813	658719	751305	754467	754301	746678	707348	754247	734829	753164	753702	742982	754139	679956	749800	749025	754114	679320	754235	743761	727	0	818	0	730	0	910	813	431	1001	808	1000	49	354	786	762	711	757	822	224	0	737	388	807	0	732	420	731	724	781	1	0	1	196	801	113	929	412	0	0	728	921	802	757	0	821	709	0	0	0	976	416	729	460	1	377	480	841	936	0	0	2	898	1	812	0	0	694	0	924	812	0	432	0	0	0	366	851	0	714	428	460	563	813	0	817	0	796	735	0	818	932	744	818	402	740	399	1	0	700	351	787	928	382	311	657	0	711	631	901	1	776	1	651	902	0	2	730	0	731	737	935	826	762	694	721	731	1	928	732	2	0	393	1	1	925	735	568	727	283	2	808	436	589	843	780	673	0	63	922	810	429	0	893	0	2	659	725	839	0	737	0	451	0	2	0	0	802	62	0	1	2	718	807	728
NC_063228.1	8000001	791002	789955	790491	790414	749654	788148	789812	788164	789788	786444	785537	771374	790127	101462	521353	784100	790479	784433	789666	790567	537150	405038	787241	574150	789036	785397	789394	788576	789772	732600	720867	788575	647783	754044	381705	789101	190336	789033	788712	789350	785154	788965	789277	788808	789709	789041	789254	787608	688606	788594	549741	788556	790098	789183	779374	788913	651374	623899	789727	784111	552673	606091	790067	756968	789614	790388	456656	556345	790044	789948	789719	790418	520355	790258	789942	520624	786393	790472	784657	790019	692118	789199	533908	553921	789088	789933	790419	790472	787902	789957	789996	790459	790068	790221	790639	787718	790325	790109	779103	784457	789943	779142	790284	788586	786497	789916	703051	787418	769102	715399	772638	790337	788010	599165	699492	789108	770724	787009	638579	716515	775002	786292	789555	790245	790611	785922	789520	789476	548530	790639	656870	788691	773349	789787	789346	780404	789170	789149	757809	789565	724231	790485	782784	790538	789087	787904	789879	745315	790393	787862	783952	789616	790056	790170	790006	790379	789836	712633	787056	789382	788161	781626	756522	789063	774892	787799	788865	779467	789631	721660	787065	786268	789174	714051	789559	779465	243	0	714	3	771	2	607	717	47	621	710	625	62	376	704	793	745	781	718	28	0	742	332	707	0	770	45	651	628	603	0	1	0	300	695	80	602	670	2	0	236	642	708	784	1	646	232	1	0	0	603	513	652	412	0	0	560	663	38	0	1	1	475	1	716	1	0	782	1	505	719	0	48	1	0	1	47	559	1	628	46	401	342	693	0	721	1	704	741	0	719	507	662	723	677	660	678	0	1	784	579	551	505	629	716	579	1	649	680	578	1	681	5	527	489	566	1	386	2	753	737	655	707	790	614	725	646	2	510	399	1	1	662	1	2	499	646	587	640	646	1	710	47	530	661	537	688	1	1	497	710	48	0	751	1	1	594	722	555	554	732	1	658	1	1	1	1	278	1	1	0	1	484	695	642
NC_063228.1	9000001	843331	842809	842950	842903	839822	841105	842030	840680	841667	842029	841277	840771	841042	54286	318154	841474	842589	840219	842124	842762	139855	199013	841837	168357	841802	841749	842235	841267	842473	835782	839306	841457	841298	839752	165396	841652	72635	841722	841547	842115	841475	840030	841701	841460	842390	841409	842062	840760	839486	840779	196390	841281	842756	841953	842403	841593	838815	408509	841035	841020	207926	335786	841730	824858	839353	842645	143341	177155	843026	839443	841702	842835	137521	841965	842046	235675	842323	843106	841414	842822	832919	840378	184678	394942	842154	841997	843012	842935	841042	842684	842726	842975	842791	842718	843147	842048	842874	842836	833144	774899	839926	836823	842729	842415	840510	842296	553427	841761	753694	755600	654822	836716	842071	275547	336017	842059	794052	828713	353687	516094	725922	841912	842676	837240	843100	839941	841484	841501	124604	843000	373612	838773	820314	841979	840976	840638	842641	839868	831978	841415	635729	842535	809693	840732	840684	842255	842039	702169	842716	837910	841011	842372	842226	842673	842477	842928	841577	705494	783085	839374	793729	796872	832773	840922	683376	836532	828069	789389	836718	546602	813896	779348	829003	797957	827750	822223	1	0	604	0	484	0	574	591	184	588	585	589	14	123	561	491	476	491	602	17	0	305	88	587	0	493	176	497	480	306	0	0	0	85	556	30	575	314	0	0	1	313	585	487	0	306	1	0	0	0	577	589	490	315	0	0	211	310	0	0	0	0	442	0	596	0	0	499	0	499	599	0	182	0	0	0	185	594	0	528	182	80	246	562	0	604	0	577	302	0	602	498	497	607	500	499	500	0	1	484	455	649	502	474	594	267	0	399	385	401	0	587	0	171	486	498	0	181	0	381	307	317	544	497	469	302	488	0	499	168	1	0	486	0	0	496	484	418	474	393	0	522	0	625	315	636	253	0	0	493	595	180	0	305	0	0	345	278	574	434	280	0	475	1	0	0	0	166	0	0	0	0	571	556	526
