chrom	window_start	sites_total	calls_AL101	calls_AL102	calls_AL103	calls_AL114	calls_AL119	calls_AL120	calls_AL121	calls_AL124	calls_AL125	calls_AL127	calls_AL129	calls_AL133	calls_AL134	calls_AL137	calls_AL138	calls_AL141	calls_AL142	calls_AL143	calls_AL146	calls_AL149	calls_AL153	calls_AL155	calls_AL156	calls_AL159	calls_AL160	calls_AL162	calls_AL166	calls_AL170	calls_AL173	calls_AL174	calls_AL175	calls_AL176	calls_AL177	calls_AL178	calls_AL180	calls_AL181	calls_AL182	calls_AL184	calls_AL185	calls_AL187	calls_AL189	calls_AL193	calls_AL196	calls_AL197	calls_AL199	calls_AL200	calls_AL201	calls_AL204	calls_AL207	calls_AL208	calls_AL209	calls_AL210	calls_AL213	calls_AL215	calls_AL216	calls_AL220	calls_AL223	calls_AL231	calls_AL238	calls_AL241	calls_AL242	calls_AL243	calls_AL244	calls_AL246	calls_AL254	calls_AL255	calls_AL256	calls_AL263	calls_AL266	calls_AL269	calls_AL272	calls_AL273	calls_AL274	calls_AL276	calls_AL278	calls_AL279	calls_AL283	calls_AL284	calls_AL288	calls_AL292	calls_AL300	calls_AL303	calls_AL304	calls_AL307	calls_AL309	calls_AL313	calls_AL32	calls_AL35	calls_AL75	calls_AL82	calls_AL86	calls_AL88	calls_AL91	calls_AL92	calls_AL95	calls_AL97	calls_AL99	calls_K1423	calls_K1461	calls_K1542	calls_K1544	calls_K1567	calls_K1579	calls_K1580	calls_K1583	calls_K1603	calls_K1606	calls_K1608	calls_K16100	calls_K1614	calls_K1617	calls_K1618	calls_K1623	calls_K1627	calls_K1632	calls_K1640	calls_K1650	calls_K1660	calls_K1663	calls_K1665	calls_K1669	calls_K1672	calls_K1680	calls_K1684	calls_K1693	calls_K1696	calls_K17007	calls_K17008	calls_K17010	calls_K17013	calls_K17014	calls_K17025	calls_K17028	calls_K17030	calls_K17032	calls_K17033	calls_K17034	calls_K17035	calls_K17037	calls_K17040	calls_K17042	calls_K17044	calls_K17045	calls_K17048	calls_K17052	calls_K17053	calls_K17056	calls_K17062	calls_K17064	calls_K17073	calls_K17077	calls_K17078	calls_K17081	calls_K17083	calls_K17087	calls_K17091	calls_K17094	calls_K17098	calls_K17099	calls_K17101	calls_K17102	calls_K17103	calls_K17104	calls_K17106	calls_K18010	calls_K18017	calls_K18019	calls_K18022	calls_K18034	calls_K18078	calls_K18083	calls_K18084	calls_K18091	calls_K19018	calls_K19019	hets_AL101	hets_AL102	hets_AL103	hets_AL114	hets_AL119	hets_AL120	hets_AL121	hets_AL124	hets_AL125	hets_AL127	hets_AL129	hets_AL133	hets_AL134	hets_AL137	hets_AL138	hets_AL141	hets_AL142	hets_AL143	hets_AL146	hets_AL149	hets_AL153	hets_AL155	hets_AL156	hets_AL159	hets_AL160	hets_AL162	hets_AL166	hets_AL170	hets_AL173	hets_AL174	hets_AL175	hets_AL176	hets_AL177	hets_AL178	hets_AL180	hets_AL181	hets_AL182	hets_AL184	hets_AL185	hets_AL187	hets_AL189	hets_AL193	hets_AL196	hets_AL197	hets_AL199	hets_AL200	hets_AL201	hets_AL204	hets_AL207	hets_AL208	hets_AL209	hets_AL210	hets_AL213	hets_AL215	hets_AL216	hets_AL220	hets_AL223	hets_AL231	hets_AL238	hets_AL241	hets_AL242	hets_AL243	hets_AL244	hets_AL246	hets_AL254	hets_AL255	hets_AL256	hets_AL263	hets_AL266	hets_AL269	hets_AL272	hets_AL273	hets_AL274	hets_AL276	hets_AL278	hets_AL279	hets_AL283	hets_AL284	hets_AL288	hets_AL292	hets_AL300	hets_AL303	hets_AL304	hets_AL307	hets_AL309	hets_AL313	hets_AL32	hets_AL35	hets_AL75	hets_AL82	hets_AL86	hets_AL88	hets_AL91	hets_AL92	hets_AL95	hets_AL97	hets_AL99	hets_K1423	hets_K1461	hets_K1542	hets_K1544	hets_K1567	hets_K1579	hets_K1580	hets_K1583	hets_K1603	hets_K1606	hets_K1608	hets_K16100	hets_K1614	hets_K1617	hets_K1618	hets_K1623	hets_K1627	hets_K1632	hets_K1640	hets_K1650	hets_K1660	hets_K1663	hets_K1665	hets_K1669	hets_K1672	hets_K1680	hets_K1684	hets_K1693	hets_K1696	hets_K17007	hets_K17008	hets_K17010	hets_K17013	hets_K17014	hets_K17025	hets_K17028	hets_K17030	hets_K17032	hets_K17033	hets_K17034	hets_K17035	hets_K17037	hets_K17040	hets_K17042	hets_K17044	hets_K17045	hets_K17048	hets_K17052	hets_K17053	hets_K17056	hets_K17062	hets_K17064	hets_K17073	hets_K17077	hets_K17078	hets_K17081	hets_K17083	hets_K17087	hets_K17091	hets_K17094	hets_K17098	hets_K17099	hets_K17101	hets_K17102	hets_K17103	hets_K17104	hets_K17106	hets_K18010	hets_K18017	hets_K18019	hets_K18022	hets_K18034	hets_K18078	hets_K18083	hets_K18084	hets_K18091	hets_K19018	hets_K19019
NC_063223.1	1	5116	4929	4530	5105	5048	1423	4817	4444	2844	5085	5027	5033	4993	1887	2085	4964	5092	4199	4979	5025	3389	2670	5103	2901	4548	4926	4706	5000	4792	4910	4966	5020	5043	4962	2529	4583	2099	1538	4802	4992	4835	4784	2839	1745	5083	4867	4711	2385	5070	4944	2596	4958	5024	4989	4090	2213	4096	4107	5028	4983	3350	3685	4908	2052	4938	5038	3069	3623	5033	5011	5050	5015	2662	4974	5054	3395	5030	5073	5006	5064	5048	5051	3344	4547	5024	4778	5044	4949	4657	4885	2512	5071	2790	5089	5023	5027	5072	4798	4810	4918	4742	4842	4880	5049	4846	4634	4921	5010	4970	4754	4752	4984	2106	3228	3835	4682	2861	4377	4420	4877	4708	5025	5036	5076	4987	4384	4493	4952	3405	5003	4239	4694	5049	4808	4997	4900	4653	4585	1328	4416	2189	4435	5015	5080	4989	5021	4942	4847	4834	4753	4584	2783	4969	4707	5024	4987	4935	4926	4979	4922	5058	5044	4718	4403	5022	5073	5007	5003	4354	4486	4893	4786	5005	3274	2560	4193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_063223.1	1000001	455	455	385	449	403	217	393	385	427	284	270	454	424	312	308	285	449	440	455	454	298	277	310	342	406	283	397	427	451	390	417	409	453	425	372	438	277	295	452	443	283	446	428	188	452	407	322	242	280	432	420	434	449	402	326	316	455	218	436	286	359	359	455	392	440	426	310	283	445	431	448	452	363	451	403	321	286	417	282	439	451	427	350	246	411	423	444	405	396	333	346	453	267	446	455	432	455	436	445	439	393	398	438	455	455	455	392	313	371	429	367	412	424	288	374	365	452	421	419	384	422	286	455	455	453	455	453	453	261	452	384	428	455	427	442	428	423	418	347	356	446	443	453	288	438	286	453	438	455	450	282	366	454	452	404	452	424	408	454	440	384	452	372	446	423	428	447	454	455	395	440	420	453	439	454	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_063223.1	2000001	339143	338612	338481	338772	332771	337016	338323	337462	337978	338164	338395	338937	338309	49891	195477	337493	338796	334610	337897	338916	102195	133354	338366	127830	337929	338002	338185	337379	338465	328525	337546	337510	335636	336397	114588	337956	58846	337547	337898	338143	337777	338007	337556	336735	338220	337901	338017	336897	335002	337432	127774	337535	338770	337553	335904	337149	338799	203393	337814	337676	126180	179282	338396	333659	337194	338557	83810	110271	338529	337549	338414	338428	87755	338472	338345	117016	338325	338970	337893	338461	337800	337331	130062	199543	338190	338344	338912	338800	337318	338741	338539	338797	338660	338751	338984	338781	338529	338497	333106	325426	337909	332503	338615	337550	335228	338540	255278	337634	320996	313728	296797	336980	336235	135410	178258	336543	325926	332266	184260	256535	310541	338499	338317	338049	338812	336221	337931	337887	76699	338737	183026	336793	332447	338424	337899	335145	337152	337416	327270	337298	282865	337628	332618	338562	336887	338402	338435	301858	338707	335258	337390	338164	338250	338614	338562	338930	338210	299946	330171	338192	332267	329238	328642	336561	306338	336445	336437	329668	335634	263904	334633	326698	335706	319429	335397	330661	149	169	3	2	258	147	144	0	118	172	146	146	14	69	3	116	43	114	47	22	1	150	46	142	47	47	112	144	115	118	109	146	146	9	45	11	263	3	116	115	145	3	256	116	0	46	258	144	114	47	113	50	113	138	271	116	7	48	147	21	2	145	3	140	149	0	0	112	3	146	117	35	115	114	29	147	147	146	0	145	0	53	92	114	48	147	144	140	169	259	3	270	0	145	2	0	170	44	0	143	6	147	3	0	142	3	118	3	0	3	0	0	1	77	162	254	44	89	0	123	146	146	112	50	142	47	3	0	146	83	47	142	146	112	3	170	48	3	169	6	46	147	0	0	0	142	131	49	44	146	266	145	151	145	45	1	0	138	147	47	143	44	141	0	113	150	48	137	40	146	226	47	3	0	39
NC_063223.1	3000001	802808	802135	801895	802122	795744	799733	801393	799830	801655	801356	801233	802102	802158	75864	447606	800371	802232	795953	801249	802210	501576	278877	801740	531177	801025	800828	801341	800449	801652	792569	796595	800322	793905	798577	257015	800648	110309	800734	800569	801276	800846	800916	800860	800476	801295	800478	801063	799669	788580	799837	558166	800275	801886	800726	797448	800654	800498	634620	801491	800663	577243	646186	801518	789936	801352	802067	408214	569609	802108	801517	801813	802119	493269	801913	801796	530997	801669	802275	801173	801612	796372	800329	522416	683670	801135	801700	802165	802189	800317	801795	801974	802125	801958	801916	802454	802085	802056	801968	794221	794820	801492	793622	802158	801795	799936	801739	734458	801453	783183	760527	779296	801737	801205	539366	670916	801385	785426	798491	661573	741357	780083	801531	802334	801885	802578	799093	800935	801082	447529	802501	670341	800115	791769	801547	800722	799807	801430	800721	785124	800658	743629	802055	795154	802278	800874	801736	801801	763867	801970	800238	800202	801134	801632	801927	801683	802227	800922	753686	797932	800972	801025	794757	762915	801379	788204	799925	801215	793843	800518	750107	798832	796089	800766	774108	800150	793908	668	741	55	0	690	663	636	0	713	661	659	675	26	266	56	715	516	699	551	348	12	655	298	661	552	548	626	646	708	714	687	670	661	120	540	38	703	55	656	705	644	0	690	706	0	543	692	658	685	333	650	554	646	611	699	665	41	554	652	312	3	667	0	663	669	0	0	657	0	647	713	331	706	637	363	672	655	658	3	669	0	373	521	762	543	654	673	634	552	713	56	715	53	654	673	56	699	505	53	662	560	671	54	638	663	0	664	0	1	2	0	0	4	459	680	695	329	491	0	638	654	652	774	556	549	542	0	0	651	510	332	664	643	697	0	543	534	0	543	3	339	664	0	51	56	664	608	548	536	645	701	660	674	662	554	0	2	638	661	554	648	529	654	1	623	675	547	661	488	672	798	340	0	0	492
NC_063223.1	4000001	805243	804663	804754	804702	795820	802394	804073	802841	804201	804281	803797	804632	804604	74204	469642	803240	804508	799854	803711	804768	391312	255680	804388	440036	803428	803710	803762	802981	803987	792844	802254	803010	804479	798544	220777	803358	93850	803421	803248	803815	803485	803472	803185	803208	803805	802848	803666	802287	795325	802370	474640	802753	804507	803541	802643	803620	804319	595067	804293	803074	492571	610262	804111	799050	803229	804494	322051	470024	804569	803909	804338	804658	379641	804280	804160	476343	804403	804831	803713	804423	802097	803068	424006	678564	803759	803960	804797	804815	802970	804685	804604	804731	804566	804452	804949	804524	804555	804668	796017	793740	803809	799466	804723	804556	802842	804085	733532	803890	785435	778501	773584	803800	803610	491146	626752	803975	788046	799207	617290	737364	773670	804248	804768	804175	804934	801704	803940	803407	353205	804750	637650	802698	799800	804124	803043	803474	804689	802841	792377	803726	738665	804516	798856	804712	803144	803967	804102	760601	804574	802602	803013	803939	804234	804431	804362	804812	803258	768552	797943	803680	802083	796425	772393	803639	783598	801847	803414	796828	802903	745751	801471	794265	802616	784419	802437	796132	410	941	183	0	842	585	403	0	657	896	412	595	20	333	184	656	263	644	282	262	25	415	175	571	281	273	636	411	643	602	634	594	638	27	268	53	863	182	641	653	404	0	848	645	0	274	852	651	627	258	640	282	654	393	868	559	84	279	409	0	69	646	0	643	588	87	0	651	0	409	555	290	555	588	307	597	414	414	2	590	0	254	387	884	311	415	593	403	4	879	183	876	186	415	945	183	954	252	180	355	313	504	186	907	363	451	654	0	0	2	0	0	4	224	929	855	262	297	0	561	412	411	887	282	0	274	450	0	414	300	272	578	405	639	1	2	169	0	1	204	280	587	0	171	186	584	390	273	270	407	865	577	587	585	280	179	3	251	585	279	255	191	572	272	563	590	277	572	247	585	788	270	1	0	256
NC_063223.1	5000001	793727	793085	793219	793054	792062	790487	792485	791036	792191	792941	793071	792754	792668	39680	309154	792873	793101	789652	792225	793126	174485	143663	793251	238011	792097	793207	792141	791396	792571	790973	791782	791635	793198	790643	103476	791799	43832	791939	791936	792351	792792	791751	791816	791267	792336	791546	792142	790802	791996	790662	299898	791503	793000	791836	792678	792010	792486	431488	792727	792826	276789	490016	792371	790437	791559	792939	171415	298786	793276	792027	792713	792994	201402	792712	792697	284440	793370	793343	793061	793137	791148	791272	243274	608708	792236	792290	793228	793270	791740	793079	793057	793389	793128	793086	793510	792825	793005	792989	788150	779793	792106	788936	793095	793660	791745	792571	700071	793387	773869	771658	750393	792603	793026	430248	562701	792750	776014	788038	530324	704525	752820	793324	793505	792224	793419	790635	792002	791787	218083	793421	567185	790781	787609	792342	791470	793043	793337	790917	787618	791548	709060	793030	786182	793091	791700	793256	792679	741169	792918	791652	792490	792498	792733	793037	792852	793333	792143	764038	783409	791892	790661	782618	764722	792536	758123	790089	791409	786718	791802	707790	790282	782468	791076	776429	790455	786238	426	583	884	656	636	918	408	0	607	724	420	920	15	139	556	603	719	598	753	80	47	424	52	255	756	745	795	419	265	657	361	926	358	33	732	17	645	545	809	363	252	0	904	364	646	738	687	599	354	39	797	750	798	0	686	423	187	748	422	0	91	738	411	264	263	85	0	818	0	0	512	67	662	274	121	931	423	425	0	258	0	144	475	582	484	425	921	415	187	691	893	690	888	426	910	888	887	691	844	647	828	746	559	643	659	300	816	291	127	0	89	0	8	372	520	566	702	203	0	237	424	425	800	757	0	591	352	46	0	0	713	823	339	356	0	187	262	219	182	781	735	906	0	538	894	910	368	0	579	418	689	905	263	261	749	260	0	0	257	742	0	717	259	697	251	840	730	250	474	847	247	729	0	0	691
NC_063223.1	6000001	841427	840454	840703	840619	838909	838187	839893	838628	840000	840107	839552	840583	840289	61795	445368	839280	840794	836829	839796	840631	283408	242044	840027	353583	839073	839327	839615	838720	840078	834008	839638	839106	840835	839050	189849	839423	83497	839580	839399	839715	839050	839256	839232	838615	839859	839197	839654	838112	838473	838260	386391	838931	840560	839339	838930	839544	840073	557702	840297	839094	390890	566796	839993	836619	838797	840495	251012	378649	840603	839590	840199	840765	285296	840238	840113	363960	839869	840905	839420	840620	839378	838626	343099	644615	839867	839737	840789	840585	838536	840599	840602	840784	840405	840536	840963	840641	840654	840533	832330	822902	839499	833411	840924	840669	838622	840235	728767	840059	814534	801708	780677	839344	840052	415353	563019	839980	819097	835885	573596	720799	794782	840091	841058	839733	841096	837957	839800	839350	267802	840981	595239	838359	831901	840078	838994	839679	840968	838730	828088	839430	748925	840604	829240	840366	839413	840137	840415	775734	840577	838883	838614	839721	840172	840469	840235	840766	839377	792739	828597	839330	833752	829777	808693	839810	800308	837687	838063	827900	838590	740667	835897	825446	837582	816152	837091	829472	608	416	605	702	658	692	67	245	535	538	614	704	25	232	616	541	509	524	537	144	87	617	152	0	538	527	530	606	524	694	401	707	404	53	523	28	323	601	533	407	0	387	685	405	683	531	467	530	394	1	528	111	536	0	470	614	299	536	609	0	0	534	604	522	0	115	0	497	276	0	474	77	700	531	194	706	368	615	1	0	0	190	313	467	696	613	703	599	608	473	608	473	603	617	417	605	516	477	568	687	532	533	612	649	697	320	535	381	572	0	716	0	0	369	313	582	507	383	0	0	67	604	704	534	0	606	397	128	0	0	504	669	241	401	0	599	690	444	586	592	527	670	0	591	603	696	554	0	575	608	229	692	0	0	144	1	2	0	243	523	0	523	0	483	0	535	510	0	505	532	503	520	0	0	472
NC_063223.1	7000001	849958	849236	849153	849370	846295	846957	848719	847373	848373	848598	848927	848901	848145	45862	319863	848858	849138	845721	848588	849323	155490	167107	849160	209156	848242	848806	848416	847701	848764	844629	847685	847902	849090	845616	131508	847853	55731	848051	848121	848343	848556	847855	847983	847510	848572	847537	848350	846804	847497	846728	258060	847765	849230	848071	848702	848078	848428	422675	848142	848317	233230	469412	848491	841240	847259	849215	155910	271624	849465	847927	848734	849145	187902	848780	848633	233472	849490	849454	848703	849165	846426	847204	235380	577929	848467	848336	849456	849348	847676	849186	849243	849399	849271	849174	849558	848822	849205	849234	842070	827581	847347	843122	849333	849628	847608	848841	707427	849032	817572	810899	777191	847214	848940	404952	520879	848528	825968	842435	522402	697144	793215	849032	849585	847420	849680	846127	848390	847692	187837	849576	544272	846440	840756	848416	847311	848638	849519	846759	839313	847609	735280	849253	837691	849172	847873	849285	848920	779123	849216	846690	848187	848518	848733	849350	849123	849561	848209	796797	829498	847535	837565	832364	827391	848626	796671	845297	845282	834121	846913	713035	842165	828764	844841	823495	844769	838818	508	367	378	650	643	663	0	461	658	415	464	657	19	144	465	652	630	653	661	28	67	463	65	0	659	650	407	466	798	642	379	101	382	58	646	28	331	463	411	395	0	0	647	390	654	0	471	638	394	1	460	0	413	0	470	463	143	0	463	0	0	644	441	783	1	42	0	651	411	0	475	66	664	646	118	672	0	467	0	1	0	107	326	477	657	470	666	460	592	484	380	477	429	470	353	434	434	593	414	643	408	659	468	620	659	287	414	366	412	0	443	0	0	311	318	433	621	236	0	2	0	457	641	663	0	453	386	63	0	4	620	622	457	392	0	590	437	559	570	516	653	635	0	446	814	648	405	0	461	465	0	650	0	0	660	0	1	0	458	356	0	641	0	594	0	649	622	0	250	642	761	637	0	1	598
NC_063223.1	8000001	842116	841664	841441	841576	838626	839483	841014	839712	840539	841048	841062	840927	840352	44601	281783	841075	841242	838191	840775	841711	128771	151935	841279	184092	840621	841387	840994	839834	841139	837770	838965	840460	841367	838029	115423	840447	48679	840295	840547	840661	840815	840123	840517	840249	841040	840303	840806	839457	839117	839545	233604	840034	841628	840490	841139	840538	840338	368530	840117	840928	201794	466713	840843	833655	839653	841557	129335	259718	841772	840421	840760	841367	182139	841054	841051	209156	841441	841661	841110	841390	837033	839534	223977	558471	840766	840823	841761	841549	839929	841259	841420	841532	841596	841436	841836	841153	841494	841585	834272	816943	840160	834368	841568	841446	839768	841074	691110	841129	809357	800962	762980	840092	840768	370339	505193	840482	818058	833537	514632	679631	783092	841480	841628	840145	841885	838676	840639	840374	179928	841711	537780	838510	832620	840789	839921	840925	841494	839453	830759	840187	726479	841109	830153	841323	839994	841406	840980	768030	841392	839203	840530	840964	840942	841487	841167	841791	840431	782057	823922	840011	831873	825571	818397	840472	785227	837831	837758	825782	838951	694525	833506	819265	837729	814713	836904	831794	884	971	616	904	775	906	0	786	794	3	802	894	14	159	797	791	760	787	799	0	78	801	94	0	801	787	4	789	388	890	6	0	5	0	782	19	893	774	4	6	0	0	888	6	895	0	767	787	6	0	780	0	4	0	788	789	222	0	794	3	0	782	754	391	1	1	0	0	5	0	787	116	902	787	127	919	0	799	0	0	0	132	427	775	900	800	904	772	894	784	619	791	399	797	399	400	720	725	361	889	372	797	801	765	897	3	5	4	691	34	392	0	3	380	879	734	722	405	1	0	0	798	902	803	1	782	6	1	0	1	758	766	777	5	1	899	385	686	881	702	775	875	0	762	402	896	683	0	771	787	0	896	1	0	799	0	0	1	776	1	0	757	0	704	0	782	751	0	556	768	353	766	0	0	726
NC_063223.1	9000001	832460	831931	831789	831882	830750	829636	831102	830023	831155	831643	831419	831727	831252	62850	390206	831133	831984	828165	831114	831953	177734	202032	831636	234520	830806	831622	831102	829573	831388	829894	830293	830436	831747	830648	166810	830707	72146	830148	830773	831047	831341	830400	830821	830334	831048	830592	830804	829657	830058	829098	272273	830239	831793	830829	830957	830603	831374	440486	830696	830929	247388	494846	831205	825379	829814	831861	158410	306236	831975	830590	831520	831564	210116	831594	831314	248212	831950	831890	831706	831653	830167	829460	270520	586287	830963	831069	832060	831989	830103	831686	831706	832177	831788	831666	832194	831659	831826	831666	825034	811730	830778	825201	831760	831707	829769	831312	708056	831530	802724	801964	767632	830639	831196	432031	539434	830567	811695	824430	544710	695843	779400	831845	832198	830727	832131	828352	830960	830551	200942	832231	554619	829547	824181	831138	830342	830031	831272	829020	821101	830154	730715	831694	822305	831754	830492	831832	831534	769835	831664	828914	830962	831201	831518	831826	831733	831968	830849	781703	814978	830151	822662	818313	811469	830767	786664	827525	828261	819003	829130	716999	824170	812920	828255	808169	826571	822211	409	834	630	688	865	881	0	887	816	411	895	687	22	239	900	812	751	790	813	51	107	898	103	0	815	799	392	889	373	680	394	2	402	0	794	32	834	883	403	407	0	0	677	402	662	0	815	831	395	0	888	0	402	0	882	896	39	0	901	0	91	797	848	371	0	43	2	0	400	219	843	108	685	801	126	695	0	902	0	0	0	152	445	833	680	898	688	867	842	837	635	836	209	900	206	207	854	744	201	671	202	811	902	850	686	324	408	382	813	783	207	0	146	336	823	842	757	488	0	5	0	898	680	813	2	876	393	70	0	1	776	853	882	402	3	848	198	709	824	552	805	668	0	857	381	685	786	0	850	885	240	673	243	0	812	221	689	1	885	72	1	787	2	736	219	801	854	0	702	788	342	792	1	0	746
